PRECINCT,HOUR,INCIDENT_COUNT,AVG_SEVERITY,SAFETY_INDEX
76.0,0,187,2.379679144385027,50.10877400817515
76.0,1,159,2.3144654088050314,51.11101105996661
76.0,2,135,2.3777777777777778,51.959082749015366
76.0,3,75,2.3733333333333335,57.29364222361517
76.0,4,96,2.3541666666666665,54.75032604115853
76.0,5,81,2.3209876543209877,56.65668582153716
76.0,6,87,2.2873563218390807,56.02997193446743
76.0,7,159,2.088050314465409,51.73907543055412
76.0,8,213,2.056338028169014,50.18532511549339
76.0,9,239,2.188284518828452,49.394408525951675
76.0,10,274,2.153284671532847,48.93159221016521
76.0,11,244,2.127049180327869,49.42581929020141
76.0,12,299,2.1538461538461537,48.62866140478741
76.0,13,275,2.1563636363636363,48.913315328146915
76.0,14,273,2.04029304029304,49.1456318895285
76.0,15,320,2.153125,48.41249162349459
76.0,16,332,2.2409638554216866,48.1837958751854
76.0,17,336,2.181547619047619,48.2267894278689
76.0,18,370,2.1972972972972973,47.940646494208835
76.0,19,443,2.2821670428893905,47.427181255165564
76.0,20,371,2.2857142857142856,47.8324360436922
76.0,21,343,2.2157434402332363,48.123481474961466
76.0,22,281,2.213523131672598,48.745728269554704
76.0,23,204,2.2598039215686274,49.94252976891696
77.0,0,492,2.2804878048780486,47.218604203152644
77.0,1,353,2.2521246458923514,48.00000765563511
77.0,2,285,2.2666666666666666,48.61841434738729
77.0,3,230,2.2782608695652176,49.38663076514747
77.0,4,209,2.2535885167464116,49.844362722115086
77.0,5,189,2.2169312169312168,50.40600006004698
77.0,6,248,2.213709677419355,49.20139538716027
77.0,7,333,2.12012012012012,48.33799912221685
77.0,8,458,2.0480349344978164,47.59126154889162
77.0,9,519,2.0597302504816954,47.312791615637224
77.0,10,606,2.01980198019802,47.06029234160229
77.0,11,580,2.056896551724138,47.1055432592793
77.0,12,599,2.040066777963272,47.06314247331597
77.0,13,636,2.0534591194968552,46.950952908892944
77.0,14,643,2.010886469673406,46.96736217693353
77.0,15,713,2.14726507713885,46.71109628905133
77.0,16,738,2.1151761517615175,46.6843397017771
77.0,17,757,2.153236459709379,46.62653726572263
77.0,18,707,2.0933521923620932,46.759071934760556
77.0,19,664,2.1671686746987953,46.800106412091125
77.0,20,686,2.1676384839650145,46.75229219670307
77.0,21,556,2.1690647482014387,47.086283841259814
77.0,22,603,2.228855721393035,46.90480747757963
77.0,23,447,2.232662192393736,47.454644333400054
78.0,0,319,2.3322884012539187,48.1837958751854
78.0,1,213,2.276995305164319,49.71372970766986
78.0,2,167,2.2994011976047903,50.86967151015752
78.0,3,133,2.2781954887218046,52.353551316409444
